period,period_type,source,item,value_jpy_m,value_jpy_m_year_ago,yoy_pct,yoy_pct_published
1981-10,MONTH,timeseries:world_total,E:Exp-Total,3093468,2500763,23.70,
1981-10,MONTH,timeseries:world_total,I:Imp-Total,2607636,2566352,1.61,
1981-11,MONTH,timeseries:world_total,E:Exp-Total,2692445,2348824,14.63,
1981-11,MONTH,timeseries:world_total,I:Imp-Total,2730891,2398691,13.85,
1981-12,MONTH,timeseries:world_total,E:Exp-Total,3166129,3071148,3.09,
1981-12,MONTH,timeseries:world_total,I:Imp-Total,2845381,2742730,3.74,
1982-01,MONTH,timeseries:world_total,E:Exp-Total,2283709,1924830,18.64,
1982-01,MONTH,timeseries:world_total,I:Imp-Total,2691722,2436758,10.46,
1982-02,MONTH,timeseries:world_total,E:Exp-Total,2704304,2463851,9.76,
1982-02,MONTH,timeseries:world_total,I:Imp-Total,2622626,2402823,9.15,
1982-03,MONTH,timeseries:world_total,E:Exp-Total,3195742,2902529,10.10,
1982-03,MONTH,timeseries:world_total,I:Imp-Total,2992563,2686902,11.38,
1982-04,MONTH,timeseries:world_total,E:Exp-Total,3032135,2724556,11.29,
1982-04,MONTH,timeseries:world_total,I:Imp-Total,2910765,2630291,10.66,
1982-05,MONTH,timeseries:world_total,E:Exp-Total,2750030,2748372,0.06,
1982-05,MONTH,timeseries:world_total,I:Imp-Total,2642918,2747244,-3.80,
1982-06,MONTH,timeseries:world_total,E:Exp-Total,2862328,2856839,0.19,
1982-06,MONTH,timeseries:world_total,I:Imp-Total,2453846,2528896,-2.97,
1982-07,MONTH,timeseries:world_total,E:Exp-Total,3060166,3083290,-0.75,
1982-07,MONTH,timeseries:world_total,I:Imp-Total,2734093,2740427,-0.23,
1982-08,MONTH,timeseries:world_total,E:Exp-Total,2684481,2784280,-3.58,
1982-08,MONTH,timeseries:world_total,I:Imp-Total,2689212,2610328,3.02,
1982-09,MONTH,timeseries:world_total,E:Exp-Total,3009790,3028395,-0.61,
1982-09,MONTH,timeseries:world_total,I:Imp-Total,2597464,2496569,4.04,
1982-10,MONTH,timeseries:world_total,E:Exp-Total,2974059,3093468,-3.86,
1982-10,MONTH,timeseries:world_total,I:Imp-Total,2715399,2607636,4.13,
1982-11,MONTH,timeseries:world_total,E:Exp-Total,2740979,2692445,1.80,
1982-11,MONTH,timeseries:world_total,I:Imp-Total,2857013,2730891,4.62,
1982-12,MONTH,timeseries:world_total,E:Exp-Total,3134777,3166129,-0.99,
1982-12,MONTH,timeseries:world_total,I:Imp-Total,2748680,2845381,-3.40,
1983-01,MONTH,timeseries:world_total,E:Exp-Total,2134195,2283709,-6.55,
1983-01,MONTH,timeseries:world_total,I:Imp-Total,2543990,2691722,-5.49,
1983-02,MONTH,timeseries:world_total,E:Exp-Total,2616328,2704304,-3.25,
1983-02,MONTH,timeseries:world_total,I:Imp-Total,2282631,2622626,-12.96,
1983-03,MONTH,timeseries:world_total,E:Exp-Total,3068921,3195742,-3.97,
1983-03,MONTH,timeseries:world_total,I:Imp-Total,2586178,2992563,-13.58,
1983-04,MONTH,timeseries:world_total,E:Exp-Total,2912037,3032135,-3.96,
1983-04,MONTH,timeseries:world_total,I:Imp-Total,2427965,2910765,-16.59,
1983-05,MONTH,timeseries:world_total,E:Exp-Total,2738407,2750030,-0.42,
1983-05,MONTH,timeseries:world_total,I:Imp-Total,2315782,2642918,-12.38,
1983-06,MONTH,timeseries:world_total,E:Exp-Total,2935410,2862328,2.55,
1983-06,MONTH,timeseries:world_total,I:Imp-Total,2469545,2453846,0.64,
1983-07,MONTH,timeseries:world_total,E:Exp-Total,3029505,3060166,-1.00,
1983-07,MONTH,timeseries:world_total,I:Imp-Total,2345170,2734093,-14.22,
1983-08,MONTH,timeseries:world_total,E:Exp-Total,2823996,2684481,5.20,
