yyyymm,imex,hs_code,stage,value_jpy_k,quantity1,unit1,quantity2,unit2,source_file,retrieved_at
2026-02,E,854143000,DETAILED,91219,0,,735527,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854143000,DETAILED,115034,0,,818144,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854143000,DETAILED,64287,0,,688866,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854143000,DETAILED,243877,0,,779948,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854143000,DETAILED,402008,0,,784279,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854143000,DETAILED,471731,0,,1014535,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854149000,DETAILED,10915103,0,,83982992,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854149000,DETAILED,12129924,0,,108565007,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854149000,DETAILED,15481735,0,,91291865,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854149000,DETAILED,16250608,0,,88465126,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854149000,DETAILED,16074441,0,,73928652,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854149000,DETAILED,16404684,0,,79301542,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854149000,DETAILED,18796038,0,,87726460,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854151000,DETAILED,1345496,0,,85267887,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854151000,DETAILED,1457997,0,,77595011,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854151000,DETAILED,1794021,0,,104133903,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854151000,DETAILED,2742926,0,,82245624,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854151000,DETAILED,1246088,0,,79420135,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854151000,DETAILED,1386301,0,,81101305,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854151000,DETAILED,1386240,0,,87183634,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854159000,DETAILED,410585,0,,24284724,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854159000,DETAILED,546002,0,,22963110,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854159000,DETAILED,388228,0,,36324693,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854159000,DETAILED,354963,0,,26475414,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854159000,DETAILED,271111,0,,24986654,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854159000,DETAILED,309070,0,,20968731,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854159000,DETAILED,337910,0,,27598143,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854160100,DETAILED,5531872,0,,459978493,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-02,E,854160100,DETAILED,5387375,0,,442217004,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-03,E,854160100,DETAILED,6211698,0,,528443281,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-04,E,854160100,DETAILED,6054175,0,,501423889,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-05,E,854160100,DETAILED,5667760,0,,417384012,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-06,E,854160100,DETAILED,6329371,0,,463866410,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-07,E,854160100,DETAILED,6245174,0,,437819966,NO,estat_E_2026-07_000040494506.csv,2026-09-02
2026-01,E,854160900,DETAILED,5863434,0,,846088693,NO,estat_E_2026-07_000040494506.csv,2026-09-02
